"","Location","Country","X","Lon","Lat"
"2","Kampot"," Cambodia"," ",10.7412089,104.1930918
"6","Hanoi"," Vietnam"," ",21.0277644,105.8341598
"8","Chiang Mai"," Thailand"," ",18.787747,98.9931284
"9","Buon Ma Thuot"," Vietnam"," ",12.6661944,108.0382475
"16","Phnom Penh"," Cambodia"," ",11.5448729,104.8921668
"23","Kuala Lumpur"," Malaysia"," Malaysian Federal Territories",3.139003,101.686855
"25","Kuala Lumpur"," Malaysia"," ",3.139003,101.686855
"38","Sapa"," Vietnam"," ",22.3380984,103.8459004
"39","Pak Beng"," Laos"," ",19.89898,101.1419185
"43","Beijing"," China"," ",39.904211,116.407395
"45","Bus"," Vietnam"," ",18.4127312,-66.105044
"48","Train"," Vietnam"," ",21.0339651,105.8519729
"49","Boston"," United States"," Massachusetts",42.3600825,-71.0588801
"51","Vang Vieng"," Laos"," ",18.95009,102.44379
"54","Shenzhen"," China"," Guangdong",22.543096,114.057865
"58","New York City"," United States"," New York",40.7127837,-74.0059413
"64","Boston"," USA"," Massachusetts",42.3600825,-71.0588801
"67","Beijing"," China"," Beijing",39.904211,116.407395
"68","Pai"," Thailand"," ",19.3582191,98.4404863
"70","Kashgar"," China"," Xinjiang",39.4704,75.989755
"71","Oakland"," United States"," California",37.8043637,-122.2711137
"75","San Francisco"," USA"," CA",37.7749295,-122.4194155
"77","Vientiane"," Laos"," ",17.9757058,102.6331035
"78","Boston"," USA"," MA",42.3600825,-71.0588801
"79","Chiang Rai"," Thailand"," ",19.9071656,99.830955
"82","Luang Prabang"," Laos"," ",19.8833959,102.1346874
"84","Phitsanulok"," Thailand"," ",16.8211238,100.2658516
"87","San Francisco"," United States"," California",37.7749295,-122.4194155
"89","Bangkok"," Thailand"," ",13.7563309,100.5017651
"91","Shenzhen"," CN"," ",22.543096,114.057865
"93","Penang"," Malaysia"," ",5.414921,100.3297612
"100","Shenzhen"," China"," ",22.543096,114.057865
"105","Sihanoukville"," Cambodia"," ",10.6253016,103.5233963
"106","Hong Kong"," Hong Kong"," ",22.2783151,114.174695
"108","Da Nang"," Vietnam"," ",16.0470788,108.2062293
"111","Train"," "," ",47.1975628,1.2422229
"114","Ho Chi Minh City"," Vietnam"," ",10.8230989,106.6296638
"115","New York City"," USA"," NY",40.7127837,-74.0059413
"119","Singapore"," Singapore"," ",1.3553794,103.8677444
"126","Urumqi"," China"," Xinjiang",43.825592,87.616848
"129","New York City"," USA"," New York",40.7127837,-74.0059413
"130","Hoi An"," Vietnam"," ",15.8800584,108.3380469
"131","Siem Reap"," Cambodia"," ",13.3670968,103.8448134
"133","Hue"," Vietnam"," ",16.4498,107.5623501
"141","Halong Bay"," Vietnam"," ",20.9100512,107.1839024
